ID,Handle,Command,Body HTML,Tags,Tags Command,Metafield: custom.size_fit_information [string],Metafield: custom.product_collections [string]
4444925460526,short-sleeve-baby-tee-black,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our short sleeve baby tee features a shrunken slim fit and a thin-lined crewneck. This t-shirt is a perfect everyday essential. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4450630434862,long-sleeve-thermal-black,MERGE,,T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit</li><li>48% Cotton 48% modal 4% spandex</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit</li><li>48% Cotton 48% modal 4% spandex</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4450630533166,cropped-long-sleeve-thermal-black,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our cropped long sleeve thermal features a slightly slim fit, classic crewneck, and Éterne's signature extra long sleeves. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's <a href=""https://eterne.com/products/thermal-lounge-pant-black"">thermal lounge pant</a> as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit&nbsp;</li><li>48% Cotton 48% Modal 4% Spandex</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly slim fit&nbsp;</li><li>48% Cotton 48% Modal 4% Spandex</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4450630565934,short-sleeve-boyfriend-tee,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our short sleeve boyfriend tee features a relaxed loose fit with an unfinished raw edge neckline detail. This t-shirt is the perfect everyday essential. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4450630631470,long-sleeve-boyfriend-tee-black,MERGE,"
<p>Cut from lightweight cotton and modal blend, our long sleeve boyfriend tee features a relaxed loose fit, unfinished raw edge neckline detail along with Éterne's signature extra long sleeves. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pant as a set. </p>",T-shirts,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton / 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a loose fit</li><li>50% Cotton / 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4450630795310,rib-tank-ivory,MERGE,"
<p>Cut from a lightweight cotton 100% rib fabric, our ribbed tank features a slim fit with its flattering thin tank straps and vintage-inspired neckline. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer or under a pantsuit. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4450630893614,cropped-rib-tank-black,MERGE,"
<p>Cut from a lightweight 100% cotton rib fabric, our cropped ribbed tank features a slim fit with its flattering thin tank straps and vintage-inspired neckline. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer or under a pantsuit. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool dry. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slim fit&nbsp;</li><li>100% cotton</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool dry. Do not dry clean.&nbsp;</li></ul>"
4450631057454,boyfriend-tank-black,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our boyfriend tank features a relaxed loose muscle-tank fit. Inspired by vintage men's tanks, this t-shirt is the perfect everyday essential. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
4450631122990,cropped-boyfriend-tank-ivory,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our cropped boyfriend tank features a relaxed loose muscle tank fit. Inspired by vintage men's tanks, this t-shirt is the perfect everyday essential. </p>
<p>Style with your favorite high-rise jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul><p><strong>Final Sale</strong></p>"
4461831028782,boyfriend-tank-ivory,MERGE,"
<p>Cut from a lightweight cotton and modal blend, our boyfriend tank features a relaxed loose muscle-tank fit. Inspired by vintage men's tanks, this t-shirt is the perfect everyday essential. </p>
<p>Style with your favorite pair of jeans, leather pants, layered under an oversized blazer, or paired with Éterne's lounge pants as a set. </p>",Tanks,REPLACE,"<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>","<ul><li>Fits true to size, take your normal size</li><li>Designed for a slightly loose fit</li><li>50% Cotton 50% Modal&nbsp;</li><li>Model is 177 cm/5&#39;10&quot; and is wearing a size S</li><li>Machine wash cold. Non-chlorine bleach. Tumble dry low. Cool iron. Do not dry clean.&nbsp;</li></ul>"
